Current Floor, Collection/Drop-off,Time / s,Moving up Stops,Moving Down Stops, Lift Trajectory, Stop Order, Employee IDs in Lift, Journey Completed by, No. of Employees in Lift
1,False,5,[2],[],Up,[2][],[],[],0
2,True,15,[],[1],Down,[1][],[1],[],1
1,True,25,[9],[],Up,[9][],[2],[1],1
2,False,35,[9 10],[],Up,[9 10][],[2],[1],1
3,False,45,[8 9 10],[],Up,[8 9 10][],[2],[1],1
4,False,55,[8 9 10],[],Up,[8 9 10][],[2],[1],1
5,False,65,[8 9 10],[],Up,[8 9 10][],[2],[1],1
6,False,75,[8 9 10],[],Up,[8 9 10][],[2],[1],1
7,False,85,[8 9 10],[],Up,[8 9 10][],[2],[1],1
8,True,95,[9 10],[4 3 2],Up,[9 10][4 3 2],[2 4 5 6 7 8],[1],6
9,True,105,[10],[4 3 2],Up,[10][4 3 2],[4 5 6 7 8],[1 2],5
10,True,115,[],[6 5 4 3 2],Down,[6 5 4 3 2][],[3 5 6 8],[1 2 4 7],4
9,False,125,[],[8 6 5 4 3 2],Down,[8 6 5 4 3 2][],[3 5 6 8],[1 2 4 7],4
8,True,135,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[3 5 6 8 12],[1 2 4 7],5
7,False,145,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[3 5 6 8 12],[1 2 4 7],5
6,True,155,[],[5 4 3 2 1],Down,[5 4 3 2 1][],[3 5 6 8 11 12],[1 2 4 7],6
5,True,165,[6],[4 3 2 1],Down,[4 3 2 1][6],[5 6 8 11 12 14],[1 2 3 4 7],6
4,True,175,[6 9],[3 2 1],Down,[3 2 1][6 9],[6 8 11 12 14],[1 2 3 4 5 7],5
3,True,185,[6 7 9],[2 1],Down,[2 1][6 7 9],[6 10 11 12 14 17],[1 2 3 4 5 7 8],6
2,True,195,[6 7 9],[1],Down,[1][6 7 9],[9 10 12 14 17],[1 2 3 4 5 6 7 8 11],5
1,True,205,[2 6 7 9],[],Up,[2 6 7 9][],[10 13 14 17],[1 2 3 4 5 6 7 8 9 11 12],4
2,True,215,[6 7 9],[],Up,[6 7 9][],[10 13 14 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],6
3,False,225,[6 7 9],[],Up,[6 7 9][],[10 13 14 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],6
4,False,235,[6 7 9 10],[],Up,[6 7 9 10][],[10 13 14 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],6
5,False,245,[6 7 9 10],[],Up,[6 7 9 10][],[10 13 14 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],6
6,True,255,[7 8 9 10],[],Up,[7 8 9 10][],[10 13 15 17 19],[1 2 3 4 5 6 7 8 9 11 12 14 18],5
7,True,265,[8 9 10],[2],Up,[8 9 10][2],[13 15 19 23],[1 2 3 4 5 6 7 8 9 10 11 12 14 17 18],4
8,True,275,[9 10],[7 2],Up,[9 10][7 2],[13 19 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18],4
9,True,285,[10],[7 6 4 2],Up,[10][7 6 4 2],[16 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],4
10,True,295,[],[7 6 5 4 2],Down,[7 6 5 4 2][],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
9,False,305,[],[7 6 5 4 2],Down,[7 6 5 4 2][],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
8,False,315,[9],[7 6 5 4 2],Down,[7 6 5 4 2][9],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
7,True,325,[9],[6 5 4 2],Down,[6 5 4 2][9],[16 21 22 23],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 24],4
6,True,335,[9 10],[5 4 3 2],Down,[5 4 3 2][9 10],[16 21 22 23 26 30],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 24],6
5,True,345,[7 9 10],[4 3 2],Down,[4 3 2][7 9 10],[16 22 23 30],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 21 24 26],4
4,True,355,[7 8 9 10],[3 2],Down,[3 2][7 8 9 10],[23 28 30 33],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 26],4
3,True,365,[7 8 9 10],[2],Down,[2][7 8 9 10],[20 23 28 33],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 26 30],4
2,True,375,[7 8 9 10],[],Up,[7 8 9 10][],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
3,False,385,[5 7 8 9 10],[],Up,[5 7 8 9 10][],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
4,False,395,[5 7 8 9 10],[2],Up,[5 7 8 9 10][2],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
5,True,405,[7 8 9 10],[4 3 2],Up,[7 8 9 10][4 3 2],[20 25 27 28 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],6
6,False,415,[7 8 9 10],[4 3 2],Up,[7 8 9 10][4 3 2],[20 25 27 28 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],6
7,True,425,[8 9 10],[4 3 2],Up,[8 9 10][4 3 2],[20 25 28 32 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 27 30 33],6
8,True,435,[9 10],[7 4 3 2],Up,[9 10][7 4 3 2],[20 25 32 34 36 38 40],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 27 28 30 33],7
9,True,445,[10],[7 4 3 2],Up,[10][7 4 3 2],[20 29 32 34 35 36 38 40],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 30 33],8
10,True,455,[],[7 4 3 2 1],Down,[7 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
9,False,465,[],[7 5 4 3 2 1],Down,[7 5 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
8,False,475,[],[7 5 4 3 2 1],Down,[7 5 4 3 2 1][],[29 31 34 36 38 40 43],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 32 33 35],7
7,True,485,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[31 36 38 40 43 44],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35],6
6,True,495,[],[5 4 3 2 1],Down,[5 4 3 2 1][],[31 36 38 39 40 43 44 46],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35],8
5,True,505,[7 10],[4 3 2 1],Down,[4 3 2 1][7 10],[31 36 38 40 43 44 45 46],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 39],8
4,True,515,[7 10],[3 2 1],Down,[3 2 1][7 10],[31 36 40 42 43 44 45 48],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 38 39 46],8
3,True,525,[7 9 10],[2 1],Down,[2 1][7 9 10],[40 41 42 43 45 48],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 44 46],6
2,True,535,[5 6 7 9 10],[1],Down,[1][5 6 7 9 10],[37 41 42 43 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40 44 46],7
1,True,545,[5 6 7 9 10],[],Up,[5 6 7 9 10][],[37 41 42 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40 43 44 46],6
2,False,555,[5 6 7 9 10],[],Up,[5 6 7 9 10][],[37 41 42 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40 43 44 46],6
3,False,565,[5 6 7 9 10],[],Up,[5 6 7 9 10][],[37 41 42 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40 43 44 46],6
4,False,575,[5 6 7 9 10],[],Up,[5 6 7 9 10][],[37 41 42 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 38 39 40 43 44 46],6
5,True,585,[6 7 9 10],[],Up,[6 7 9 10][],[41 42 45 48 50],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 43 44 46],5
