Current Floor, Collection/Drop-off,Time / s,Moving up Stops,Moving Down Stops, Lift Trajectory, Stop Order, Employee IDs in Lift, Journey Completed by, No. of Employees in Lift
1,False,6,[2],[],Up,[2][],[],[],0
2,True,16,[],[1],Down,[1][],[1],[],1
1,True,26,[9],[],Up,[9][],[2],[1],1
2,False,36,[9 10],[],Up,[9 10][],[2],[1],1
3,False,46,[8 9 10],[],Up,[8 9 10][],[2],[1],1
4,False,56,[8 9 10],[],Up,[8 9 10][],[2],[1],1
5,False,66,[8 9 10],[],Up,[8 9 10][],[2],[1],1
6,False,76,[8 9 10],[],Up,[8 9 10][],[2],[1],1
7,False,86,[8 9 10],[],Up,[8 9 10][],[2],[1],1
8,True,96,[9 10],[4 3 2],Up,[9 10][4 3 2],[2 4 5 6 7 8],[1],6
9,True,106,[10],[4 3 2],Up,[10][4 3 2],[4 5 6 7 8],[1 2],5
10,True,116,[],[6 5 4 3 2],Down,[6 5 4 3 2][],[3 5 6 8],[1 2 4 7],4
9,False,126,[],[8 6 5 4 3 2],Down,[8 6 5 4 3 2][],[3 5 6 8],[1 2 4 7],4
8,True,136,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[3 5 6 8 12],[1 2 4 7],5
7,False,146,[],[6 5 4 3 2 1],Down,[6 5 4 3 2 1][],[3 5 6 8 12],[1 2 4 7],5
6,True,156,[8],[5 4 3 2 1],Down,[5 4 3 2 1][8],[3 5 6 8 11 12 15],[1 2 4 7],7
5,True,166,[6 8],[4 3 2 1],Down,[4 3 2 1][6 8],[5 6 8 11 12 14 15],[1 2 3 4 7],7
4,True,176,[6 8 9],[3 2 1],Down,[3 2 1][6 8 9],[6 8 11 12 14 15],[1 2 3 4 5 7],6
3,True,186,[6 7 8 9],[2 1],Down,[2 1][6 7 8 9],[6 10 11 12 14 15 17],[1 2 3 4 5 7 8],7
2,True,196,[6 7 8 9],[1],Down,[1][6 7 8 9],[9 10 12 14 15 17],[1 2 3 4 5 6 7 8 11],6
1,True,206,[2 6 7 8 9],[],Up,[2 6 7 8 9][],[10 13 14 15 17],[1 2 3 4 5 6 7 8 9 11 12],5
2,True,216,[6 7 8 9],[],Up,[6 7 8 9][],[10 13 14 15 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],7
3,False,226,[6 7 8 9],[],Up,[6 7 8 9][],[10 13 14 15 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],7
4,False,236,[6 7 8 9 10],[],Up,[6 7 8 9 10][],[10 13 14 15 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],7
5,False,246,[6 7 8 9 10],[],Up,[6 7 8 9 10][],[10 13 14 15 17 18 19],[1 2 3 4 5 6 7 8 9 11 12],7
6,True,256,[7 8 9 10],[],Up,[7 8 9 10][],[10 13 15 17 19],[1 2 3 4 5 6 7 8 9 11 12 14 18],5
7,True,266,[8 9 10],[2],Up,[8 9 10][2],[13 15 19 23],[1 2 3 4 5 6 7 8 9 10 11 12 14 17 18],4
8,True,276,[9 10],[7 2],Up,[9 10][7 2],[13 19 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18],4
9,True,286,[10],[7 6 4 2],Up,[10][7 6 4 2],[16 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],4
10,True,296,[],[7 6 5 4 2],Down,[7 6 5 4 2][],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
9,False,306,[],[7 6 5 4 2],Down,[7 6 5 4 2][],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
8,False,316,[9],[7 6 5 4 2],Down,[7 6 5 4 2][9],[16 21 22 23 24],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19],5
7,True,326,[9],[6 5 4 2],Down,[6 5 4 2][9],[16 21 22 23],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 24],4
6,True,336,[9 10],[5 4 3 2],Down,[5 4 3 2][9 10],[16 21 22 23 26 30],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 24],6
5,True,346,[7 9 10],[4 3 2],Down,[4 3 2][7 9 10],[16 22 23 30],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 21 24 26],4
4,True,356,[7 8 9 10],[3 2],Down,[3 2][7 8 9 10],[23 28 30 33],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 26],4
3,True,366,[7 8 9 10],[2],Down,[2][7 8 9 10],[20 23 28 33],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 24 26 30],4
2,True,376,[7 8 9 10],[],Up,[7 8 9 10][],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
3,False,386,[5 7 8 9 10],[],Up,[5 7 8 9 10][],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
4,False,396,[5 7 8 9 10],[2],Up,[5 7 8 9 10][2],[20 25 27 28],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],4
5,True,406,[7 8 9 10],[4 3 2],Up,[7 8 9 10][4 3 2],[20 25 27 28 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],6
6,False,416,[7 8 9 10],[4 3 2],Up,[7 8 9 10][4 3 2],[20 25 27 28 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 30 33],6
7,True,426,[8 9 10],[4 3 2],Up,[8 9 10][4 3 2],[20 25 28 32 36 38],[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 26 27 30 33],6
